year,logreal_gdp,trade_open,inv,hcapital,fin_dev,log_lapro
2000-01-01,8.503113752068687,0.426610654,0.131125165,7.57972002,34.3837,9.950847649004047
2001-01-01,8.55553209218339,0.432662916,0.163435292,7.702786922,24.3028,9.966520424454965
2002-01-01,8.631860488627007,0.428386675,0.175499323,7.825854301,20.413,9.99639807546432
2003-01-01,8.678566178770616,0.409380361,0.147311058,7.948921204,16.5975,10.013997038083971
2004-01-01,8.773856136346886,0.418561197,0.140530232,8.071988106,16.8658,10.02847309726425
2005-01-01,8.89254812218429,0.406420761,0.142050544,8.195055008,18.4233,10.053259975697399
2006-01-01,8.956464650180193,0.406116372,0.141224101,8.31812191,19.6253,10.051798349064638
2007-01-01,8.990036202764761,0.398633802,0.139967353,8.441189766,20.7523,10.067950597692876
2008-01-01,9.084718750320036,0.386568773,0.153334344,8.564256668,20.9918,10.112128693903037
2009-01-01,9.044113579852072,0.366776042,0.145559789,8.68732357,23.0664,10.117801306678832
2010-01-01,9.12056040469415,0.357974451,0.146524248,8.810390472,23.2594,10.149420240742423
2011-01-01,9.208848730107718,0.337359712,0.147217808,8.844734192,24.5993,10.205650979772043
2012-01-01,9.255672562655194,0.326598375,0.14407082,8.879077911,25.1824,10.222658744872135
2013-01-01,9.306376451145203,0.322073329,0.150434585,8.913422585,25.3008,10.242390559118448
2014-01-01,9.314156175047822,0.32723014,0.15467841,8.947766304,25.9032,10.266316147212818
